pokemon_code,pokemon_name,pokemon_type_1,pokemon_type_2,high_point,attack_force,defense_point,special_attack_force,special_defense_point,speed,generation,legendary,against_bug,against_dark,against_dragon,against_electric,against_fairy,against_fight,against_fire,against_flying,against_ghost,against_grass,against_ground,against_ice,against_normal,against_poison,against_psychic,against_rock,against_steel,against_water,base_egg_steps,base_happiness,base_total,capture_rate,classfication,percentage_male,experience_growth,height_m,weight_kg,pokedex_number
126,Horsea,Water,,30,40,70,70,25,60,1,0,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,5120,70,295,225,Dragon Pokémon,50,1000000,0.4,8,116
127,Seadra,Water,,55,65,95,95,45,85,1,0,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,5120,70,440,75,Dragon Pokémon,50,1000000,1.2,25,117
128,Goldeen,Water,,45,67,60,35,50,63,1,0,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,5120,70,320,225,Goldfish Pokémon,50,1000000,0.6,15,118
129,Seaking,Water,,80,92,65,65,80,68,1,0,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,5120,70,450,60,Goldfish Pokémon,50,1000000,1.3,39,119
130,Staryu,Water,,30,45,55,70,55,85,1,0,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,5120,70,340,225,Starshape Pokémon,,1250000,0.8,34.5,120
131,Starmie,Water,Psychic,60,75,85,100,85,115,1,0,2,2,1,2,1,0.5,0.5,1,2,2,1,0.5,1,1,0.5,1,0.5,0.5,5120,70,520,60,Mysterious Pokémon,,1250000,1.1,80,121
132,Mr. Mime,Psychic,Fairy,40,45,65,100,120,90,1,0,1,1,0,1,1,0.25,1,1,2,1,1,1,1,2,0.5,1,2,1,6400,70,460,45,Barrier Pokémon,50,1000000,1.3,54.5,122
133,Scyther,Bug,Flying,70,110,80,55,80,105,1,0,0.5,1,1,2,1,0.25,2,2,1,0.25,0,2,1,1,1,4,1,1,6400,70,500,45,Mantis Pokémon,50,1000000,1.5,56,123
134,Jynx,Ice,Psychic,65,50,35,115,95,95,1,0,2,2,1,1,1,1,2,1,2,1,1,0.5,1,1,0.5,2,2,1,6400,70,455,45,Humanshape Pokémon,0,1000000,1.4,40.6,124
135,Electabuzz,Electric,,65,83,57,95,85,105,1,0,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,6400,70,490,45,Electric Pokémon,75.4,1000000,1.1,30,125
136,Magmar,Fire,,65,95,57,100,85,93,1,0,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,6400,70,495,45,Spitfire Pokémon,75.4,1000000,1.3,44.5,126
137,Pinsir,Bug,,65,125,100,55,70,85,1,0,1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1,6400,70,600,45,Stagbeetle Pokémon,50,1250000,1.5,55,127
138,Mega Pinsir,Bug,Flying,65,155,120,65,90,105,1,0,1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1,6400,70,600,45,Stagbeetle Pokémon,50,1250000,1.5,55,127
139,Tauros,Normal,,75,100,95,40,70,110,1,0,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,5120,70,490,45,Wild Bull Pokémon,100,1250000,1.4,88.4,128
140,Magikarp,Water,,20,10,55,15,20,80,1,0,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,1280,70,200,255,Fish Pokémon,50,1250000,0.9,10,129
141,Gyarados,Water,Flying,95,125,79,60,100,81,1,0,0.5,1,1,4,1,0.5,0.5,1,1,1,0,1,1,1,1,2,0.5,0.5,1280,70,640,45,Atrocious Pokémon,50,1250000,6.5,235,130
142,Mega Gyarados,Water,Dark,95,155,109,70,130,81,1,0,0.5,1,1,4,1,0.5,0.5,1,1,1,0,1,1,1,1,2,0.5,0.5,1280,70,640,45,Atrocious Pokémon,50,1250000,6.5,235,130
143,Lapras,Water,Ice,130,85,80,85,95,60,1,0,1,1,1,2,1,2,1,1,1,2,1,0.25,1,1,1,2,1,0.5,10240,70,535,45,Transport Pokémon,50,1250000,2.5,220,131
144,Ditto,Normal,,48,48,48,48,48,48,1,0,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,5120,70,288,35,Transform Pokémon,,1000000,0.3,4,132
145,Eevee,Normal,,55,55,50,45,65,55,1,0,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,8960,70,325,45,Evolution Pokémon,88.1,1000000,0.3,6.5,133
146,Vaporeon,Water,,130,65,60,110,95,65,1,0,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,8960,70,525,45,Bubble Jet Pokémon,88.1,1000000,1,29,134
147,Jolteon,Electric,,65,65,60,110,95,130,1,0,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,8960,70,525,45,Lightning Pokémon,88.1,1000000,0.8,24.5,135
148,Flareon,Fire,,65,130,60,95,110,65,1,0,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,8960,70,525,45,Flame Pokémon,88.1,1000000,0.9,25,136
149,Porygon,Normal,,65,60,70,85,75,40,1,0,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,5120,70,395,45,Virtual Pokémon,,1000000,0.8,36.5,137
150,Omanyte,Rock,Water,35,40,100,90,55,35,1,0,1,1,1,2,1,2,0.25,0.5,1,4,2,0.5,0.5,0.5,1,1,1,1,7680,70,355,45,Spiral Pokémon,88.1,1000000,0.4,7.5,138
151,Omastar,Rock,Water,70,60,125,115,70,55,1,0,1,1,1,2,1,2,0.25,0.5,1,4,2,0.5,0.5,0.5,1,1,1,1,7680,70,495,45,Spiral Pokémon,88.1,1000000,1,35,139
152,Kabuto,Rock,Water,30,80,90,55,45,55,1,0,1,1,1,2,1,2,0.25,0.5,1,4,2,0.5,0.5,0.5,1,1,1,1,7680,70,355,45,Shellfish Pokémon,88.1,1000000,0.5,11.5,140
153,Kabutops,Rock,Water,60,115,105,65,70,80,1,0,1,1,1,2,1,2,0.25,0.5,1,4,2,0.5,0.5,0.5,1,1,1,1,7680,70,495,45,Shellfish Pokémon,88.1,1000000,1.3,40.5,141
154,Aerodactyl,Rock,Flying,80,105,65,60,75,130,1,0,0.5,1,1,2,1,1,0.5,0.5,1,1,0,2,0.5,0.5,1,2,2,2,8960,70,615,45,Fossil Pokémon,88.1,1250000,1.8,59,142
155,Mega Aerodactyl,Rock,Flying,80,135,85,70,95,150,1,0,0.5,1,1,2,1,1,0.5,0.5,1,1,0,2,0.5,0.5,1,2,2,2,8960,70,615,45,Fossil Pokémon,88.1,1250000,1.8,59,142
156,Snorlax,Normal,,160,110,65,65,110,30,1,0,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,10240,70,540,25,Sleeping Pokémon,88.1,1250000,2.1,460,143
157,Articuno,Ice,Flying,90,85,100,95,125,85,1,1,0.5,1,1,2,1,1,2,1,1,0.5,0,1,1,1,1,4,2,1,20480,35,580,3,Freeze Pokémon,,1250000,1.7,55.4,144
158,Zapdos,Electric,Flying,90,90,85,125,90,100,1,1,0.5,1,1,1,1,0.5,1,0.5,1,0.5,0,2,1,1,1,2,0.5,1,20480,35,580,3,Electric Pokémon,,1250000,1.6,52.6,145
159,Moltres,Fire,Flying,90,100,90,125,85,90,1,1,0.25,1,1,2,0.5,0.5,0.5,1,1,0.25,0,1,1,1,1,4,0.5,2,20480,35,580,3,Flame Pokémon,,1250000,2,60,146
160,Dratini,Dragon,,41,64,45,50,50,50,1,0,1,1,2,0.5,2,1,0.5,1,1,0.5,1,2,1,1,1,1,1,0.5,10240,35,300,45,Dragon Pokémon,50,1250000,1.8,3.3,147
161,Dragonair,Dragon,,61,84,65,70,70,70,1,0,1,1,2,0.5,2,1,0.5,1,1,0.5,1,2,1,1,1,1,1,0.5,10240,35,420,45,Dragon Pokémon,50,1250000,4,16.5,148
162,Dragonite,Dragon,Flying,91,134,95,100,100,80,1,0,0.5,1,2,1,2,0.5,0.5,1,1,0.25,0,4,1,1,1,2,1,0.5,10240,35,600,45,Dragon Pokémon,50,1250000,2.2,210,149
163,Mewtwo,Psychic,,106,110,90,154,90,130,1,1,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,30720,0,780,3,Genetic Pokémon,,1250000,2,122,150
164,Mega Mewtwo X,Psychic,Fighting,106,190,100,154,100,130,1,1,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,30720,0,780,3,Genetic Pokémon,,1250000,2,122,150
165,Mega Mewtwo Y,Psychic,,106,150,70,194,120,140,1,1,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,30720,0,780,3,Genetic Pokémon,,1250000,2,122,150
166,Mew,Psychic,,100,100,100,100,100,100,1,0,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,30720,100,600,45,New Species Pokémon,,1059860,0.4,4,151
167,Chikorita,Grass,,45,49,65,49,65,45,2,0,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,5120,70,318,45,Leaf Pokémon,88.1,1059860,0.9,6.4,152
168,Bayleef,Grass,,60,62,80,63,80,60,2,0,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,5120,70,405,45,Leaf Pokémon,88.1,1059860,1.2,15.8,153
169,Meganium,Grass,,80,82,100,83,100,80,2,0,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,5120,70,525,45,Herb Pokémon,88.1,1059860,1.8,100.5,154
170,Cyndaquil,Fire,,39,52,43,60,50,65,2,0,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,5120,70,309,45,Fire Mouse Pokémon,88.1,1059860,0.5,7.9,155
171,Quilava,Fire,,58,64,58,80,65,80,2,0,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,5120,70,405,45,Volcano Pokémon,88.1,1059860,0.9,19,156
172,Typhlosion,Fire,,78,84,78,109,85,100,2,0,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,5120,70,534,45,Volcano Pokémon,88.1,1059860,1.7,79.5,157
173,Totodile,Water,,50,65,64,44,48,43,2,0,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,5120,70,314,45,Big Jaw Pokémon,88.1,1059860,0.6,9.5,158
174,Croconaw,Water,,65,80,80,59,63,58,2,0,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,5120,70,405,45,Big Jaw Pokémon,88.1,1059860,1.1,25,159
175,Feraligatr,Water,,85,105,100,79,83,78,2,0,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,5120,70,530,45,Big Jaw Pokémon,88.1,1059860,2.3,88.8,160
176,Sentret,Normal,,35,46,34,35,45,20,2,0,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,3840,70,215,255,Scout Pokémon,50,1000000,0.8,6,161
177,Furret,Normal,,85,76,64,45,55,90,2,0,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,3840,70,415,90,Long Body Pokémon,50,1000000,1.8,32.5,162
178,Hoothoot,Normal,Flying,60,30,30,36,56,50,2,0,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,3840,70,262,255,Owl Pokémon,50,1000000,0.7,21.2,163
179,Noctowl,Normal,Flying,100,50,50,76,96,70,2,0,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,3840,70,452,90,Owl Pokémon,50,1000000,1.6,40.8,164
180,Ledyba,Bug,Flying,40,20,30,40,80,55,2,0,0.5,1,1,2,1,0.25,2,2,1,0.25,0,2,1,1,1,4,1,1,3840,70,265,255,Five Star Pokémon,50,800000,1,10.8,165
181,Ledian,Bug,Flying,55,35,50,55,110,85,2,0,0.5,1,1,2,1,0.25,2,2,1,0.25,0,2,1,1,1,4,1,1,3840,70,390,90,Five Star Pokémon,50,800000,1.4,35.6,166
182,Spinarak,Bug,Poison,40,60,40,40,40,30,2,0,0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,3840,70,250,255,String Spit Pokémon,50,800000,0.5,8.5,167
183,Ariados,Bug,Poison,70,90,70,60,60,40,2,0,0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,3840,70,400,90,Long Leg Pokémon,50,800000,1.1,33.5,168
184,Crobat,Poison,Flying,85,90,80,70,80,130,2,0,0.25,1,1,2,0.5,0.25,1,1,1,0.25,0,2,1,0.5,2,2,1,1,3840,70,535,90,Bat Pokémon,50,1000000,1.8,75,169
185,Chinchou,Water,Electric,75,38,38,56,56,67,2,0,1,1,1,1,1,1,0.5,0.5,1,2,2,0.5,1,1,1,1,0.25,0.5,5120,70,330,190,Angler Pokémon,50,1250000,0.5,12,170
186,Lanturn,Water,Electric,125,58,58,76,76,67,2,0,1,1,1,1,1,1,0.5,0.5,1,2,2,0.5,1,1,1,1,0.25,0.5,5120,70,460,75,Light Pokémon,50,1250000,1.2,22.5,171
187,Pichu,Electric,,20,40,15,35,35,60,2,0,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,2560,70,205,190,Tiny Mouse Pokémon,50,1000000,0.3,2,172
188,Cleffa,Fairy,,50,25,28,45,55,15,2,0,0.5,0.5,0,1,1,0.5,1,1,1,1,1,1,1,2,1,1,2,1,2560,140,218,150,Star Shape Pokémon,24.6,800000,0.3,3,173
189,Igglybuff,Normal,Fairy,90,30,15,40,20,15,2,0,0.5,0.5,0,1,1,1,1,1,0,1,1,1,1,2,1,1,2,1,2560,70,210,170,Balloon Pokémon,24.6,800000,0.3,1,174
190,Togepi,Fairy,,35,20,65,40,65,20,2,0,0.5,0.5,0,1,1,0.5,1,1,1,1,1,1,1,2,1,1,2,1,2560,70,245,190,Spike Ball Pokémon,88.1,800000,0.3,1.5,175
191,Togetic,Fairy,Flying,55,40,85,80,105,40,2,0,0.25,0.5,0,2,1,0.25,1,1,1,0.5,0,2,1,2,1,2,2,1,2560,70,405,75,Happiness Pokémon,88.1,800000,0.6,3.2,176
192,Natu,Psychic,Flying,40,50,45,70,45,70,2,0,1,2,1,2,1,0.25,1,1,2,0.5,0,2,1,1,0.5,2,1,1,5120,70,320,190,Little Bird Pokémon,50,1000000,0.2,2,177
193,Xatu,Psychic,Flying,65,75,70,95,70,95,2,0,1,2,1,2,1,0.25,1,1,2,0.5,0,2,1,1,0.5,2,1,1,5120,70,470,75,Mystic Pokémon,50,1000000,1.5,15,178
194,Mareep,Electric,,55,40,40,65,45,35,2,0,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,5120,70,280,235,Wool Pokémon,50,1059860,0.6,7.8,179
195,Flaaffy,Electric,,70,55,55,80,60,45,2,0,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,5120,70,365,120,Wool Pokémon,50,1059860,0.8,13.3,180
196,Ampharos,Electric,,90,75,85,115,90,55,2,0,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,5120,70,610,45,Light Pokémon,50,1059860,1.4,61.5,181
197,Mega Ampharos,Electric,Dragon,90,95,105,165,110,45,2,0,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,5120,70,610,45,Light Pokémon,50,1059860,1.4,61.5,181
198,Bellossom,Grass,,75,80,95,90,100,50,2,0,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,5120,70,490,45,Flower Pokémon,50,1059860,0.4,5.8,182
199,Marill,Water,Fairy,70,20,50,20,50,40,2,0,0.5,0.5,0,2,1,0.5,0.5,1,1,2,1,0.5,1,2,1,1,1,0.5,2560,70,250,190,Aquamouse Pokémon,50,800000,0.4,8.5,183
200,Azumarill,Water,Fairy,100,50,80,60,80,50,2,0,0.5,0.5,0,2,1,0.5,0.5,1,1,2,1,0.5,1,2,1,1,1,0.5,2560,70,420,75,Aquarabbit Pokémon,50,800000,0.8,28.5,184
201,Sudowoodo,Rock,,70,100,115,30,65,30,2,0,1,1,1,1,1,2,0.5,0.5,1,2,2,1,0.5,0.5,1,1,2,2,5120,70,410,65,Imitation Pokémon,50,1000000,1.2,38,185
202,Politoed,Water,,90,75,75,90,100,70,2,0,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,5120,70,500,45,Frog Pokémon,50,1059860,1.1,33.9,186
203,Hoppip,Grass,Flying,35,35,40,35,55,50,2,0,1,1,1,1,1,0.5,2,2,1,0.25,0,4,1,2,1,2,1,0.5,5120,70,250,255,Cottonweed Pokémon,50,1059860,0.4,0.5,187
204,Skiploom,Grass,Flying,55,45,50,45,65,80,2,0,1,1,1,1,1,0.5,2,2,1,0.25,0,4,1,2,1,2,1,0.5,5120,70,340,120,Cottonweed Pokémon,50,1059860,0.6,1,188
205,Jumpluff,Grass,Flying,75,55,70,55,95,110,2,0,1,1,1,1,1,0.5,2,2,1,0.25,0,4,1,2,1,2,1,0.5,5120,70,460,45,Cottonweed Pokémon,50,1059860,0.8,3,189
206,Aipom,Normal,,55,70,55,40,55,85,2,0,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,5120,70,360,45,Long Tail Pokémon,50,800000,0.8,11.5,190
207,Sunkern,Grass,,30,30,30,30,30,30,2,0,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,5120,70,180,235,Seed Pokémon,50,1059860,0.3,1.8,191
208,Sunflora,Grass,,75,75,55,105,85,30,2,0,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,5120,70,425,120,Sun Pokémon,50,1059860,0.8,8.5,192
209,Yanma,Bug,Flying,65,65,45,75,45,95,2,0,0.5,1,1,2,1,0.25,2,2,1,0.25,0,2,1,1,1,4,1,1,5120,70,390,75,Clear Wing Pokémon,50,1000000,1.2,38,193
210,Wooper,Water,Ground,55,45,45,25,25,15,2,0,1,1,1,0,1,1,0.5,1,1,4,1,1,1,0.5,1,0.5,0.5,1,5120,70,210,255,Water Fish Pokémon,50,1000000,0.4,8.5,194
211,Quagsire,Water,Ground,95,85,85,65,65,35,2,0,1,1,1,0,1,1,0.5,1,1,4,1,1,1,0.5,1,0.5,0.5,1,5120,70,430,90,Water Fish Pokémon,50,1000000,1.4,75,195
212,Espeon,Psychic,,65,65,60,130,95,110,2,0,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,8960,70,525,45,Sun Pokémon,88.1,1000000,0.9,26.5,196
213,Umbreon,Dark,,95,65,110,60,130,65,2,0,2,0.5,1,1,2,2,1,1,0.5,1,1,1,1,1,0,1,1,1,8960,35,525,45,Moonlight Pokémon,88.1,1000000,1,27,197
214,Murkrow,Dark,Flying,60,85,42,85,42,91,2,0,1,0.5,1,2,2,1,1,1,0.5,0.5,0,2,1,1,0,2,1,1,5120,35,405,30,Darkness Pokémon,50,1059860,0.5,2.1,198
215,Slowking,Water,Psychic,95,75,80,100,110,30,2,0,2,2,1,2,1,0.5,0.5,1,2,2,1,0.5,1,1,0.5,1,0.5,0.5,5120,70,490,70,Royal Pokémon,50,1000000,2,79.5,199
216,Misdreavus,Ghost,,60,60,60,85,85,85,2,0,0.5,2,1,1,1,0,1,1,2,1,1,1,0,0.5,1,1,1,1,6400,35,435,45,Screech Pokémon,50,800000,0.7,1,200
217,Unown,Psychic,,48,72,48,72,48,48,2,0,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,10240,70,336,225,Symbol Pokémon,,1000000,0.5,5,201
218,Wobbuffet,Psychic,,190,33,58,33,58,33,2,0,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,5120,70,405,45,Patient Pokémon,50,1000000,1.3,28.5,202
219,Girafarig,Normal,Psychic,70,80,65,90,65,85,2,0,2,2,1,1,1,1,1,1,0,1,1,1,1,1,0.5,1,1,1,5120,70,455,60,Long Neck Pokémon,50,1000000,1.5,41.5,203
220,Pineco,Bug,,50,65,90,35,35,15,2,0,1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1,5120,70,290,190,Bagworm Pokémon,50,1000000,0.6,7.2,204
221,Forretress,Bug,Steel,75,90,140,60,60,40,2,0,0.5,1,0.5,1,0.5,1,4,1,1,0.25,1,0.5,0.5,0,0.5,1,0.5,1,5120,70,465,75,Bagworm Pokémon,50,1000000,1.2,125.8,205
222,Dunsparce,Normal,,100,70,70,65,65,45,2,0,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,5120,70,415,190,Land Snake Pokémon,50,1000000,1.5,14,206
223,Gligar,Ground,Flying,65,75,105,35,65,85,2,0,0.5,1,1,0,1,0.5,1,1,1,1,0,4,1,0.5,1,1,1,2,5120,70,430,60,Flyscorpion Pokémon,50,1059860,1.1,64.8,207
224,Steelix,Steel,Ground,75,85,200,55,65,30,2,0,0.5,1,0.5,0,0.5,2,2,0.5,1,1,2,1,0.5,0,0.5,0.25,0.5,2,6400,70,610,25,Iron Snake Pokémon,50,1000000,9.2,400,208
225,Mega Steelix,Steel,Ground,75,125,230,55,95,30,2,0,0.5,1,0.5,0,0.5,2,2,0.5,1,1,2,1,0.5,0,0.5,0.25,0.5,2,6400,70,610,25,Iron Snake Pokémon,50,1000000,9.2,400,208
226,Snubbull,Fairy,,60,80,50,40,40,30,2,0,0.5,0.5,0,1,1,0.5,1,1,1,1,1,1,1,2,1,1,2,1,5120,70,300,190,Fairy Pokémon,24.6,800000,0.6,7.8,209
227,Granbull,Fairy,,90,120,75,60,60,45,2,0,0.5,0.5,0,1,1,0.5,1,1,1,1,1,1,1,2,1,1,2,1,5120,70,450,75,Fairy Pokémon,24.6,800000,1.4,48.7,210
228,Qwilfish,Water,Poison,65,95,75,55,55,85,2,0,0.5,1,1,2,0.5,0.5,0.5,1,1,1,2,0.5,1,0.5,2,1,0.5,0.5,5120,70,440,45,Balloon Pokémon,50,1000000,0.5,3.9,211
229,Scizor,Bug,Steel,70,130,100,55,80,65,2,0,0.5,1,0.5,1,0.5,1,4,1,1,0.25,1,0.5,0.5,0,0.5,1,0.5,1,6400,70,600,25,Pincer Pokémon,50,1000000,1.8,118,212
230,Mega Scizor,Bug,Steel,70,150,140,65,100,75,2,0,0.5,1,0.5,1,0.5,1,4,1,1,0.25,1,0.5,0.5,0,0.5,1,0.5,1,6400,70,600,25,Pincer Pokémon,50,1000000,1.8,118,212
231,Shuckle,Bug,Rock,20,10,230,10,230,5,2,0,1,1,1,1,1,1,1,1,1,1,1,1,0.5,0.5,1,2,2,2,5120,70,505,190,Mold Pokémon,50,1059860,0.6,20.5,213
232,Heracross,Bug,Fighting,80,125,75,40,95,85,2,0,0.5,0.5,1,1,2,0.5,2,4,1,0.5,0.5,1,1,1,2,1,1,1,6400,70,600,45,Singlehorn Pokémon,50,1250000,1.5,54,214
233,Mega Heracross,Bug,Fighting,80,185,115,40,105,75,2,0,0.5,0.5,1,1,2,0.5,2,4,1,0.5,0.5,1,1,1,2,1,1,1,6400,70,600,45,Singlehorn Pokémon,50,1250000,1.5,54,214
234,Sneasel,Dark,Ice,55,95,55,35,75,115,2,0,2,0.5,1,1,2,4,2,1,0.5,1,1,0.5,1,1,0,2,2,1,5120,35,430,60,Sharp Claw Pokémon,50,1059860,0.9,28,215
235,Teddiursa,Normal,,60,80,50,50,50,40,2,0,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,5120,70,330,120,Little Bear Pokémon,50,1000000,0.6,8.8,216
236,Ursaring,Normal,,90,130,75,75,75,55,2,0,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,5120,70,500,60,Hibernator Pokémon,50,1000000,1.8,125.8,217
237,Slugma,Fire,,40,40,40,70,40,20,2,0,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,5120,70,250,190,Lava Pokémon,50,1000000,0.7,35,218
238,Magcargo,Fire,Rock,50,50,120,80,80,30,2,0,0.5,1,1,1,0.5,2,0.25,0.5,1,1,4,0.5,0.5,0.5,1,2,1,4,5120,70,430,75,Lava Pokémon,50,1000000,0.8,55,219
239,Swinub,Ice,Ground,50,50,40,30,30,50,2,0,1,1,1,0,1,2,2,1,1,2,1,1,1,0.5,1,1,2,2,5120,70,250,225,Pig Pokémon,50,1250000,0.4,6.5,220
240,Piloswine,Ice,Ground,100,100,80,60,60,50,2,0,1,1,1,0,1,2,2,1,1,2,1,1,1,0.5,1,1,2,2,5120,70,450,75,Swine Pokémon,50,1250000,1.1,55.8,221
241,Corsola,Water,Rock,55,55,85,65,85,35,2,0,1,1,1,2,1,2,0.25,0.5,1,4,2,0.5,0.5,0.5,1,1,1,1,5120,70,410,60,Coral Pokémon,24.6,800000,0.6,5,222
242,Remoraid,Water,,35,65,35,65,35,65,2,0,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,5120,70,300,190,Jet Pokémon,50,1000000,0.6,12,223
243,Octillery,Water,,75,105,75,105,75,45,2,0,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,5120,70,480,75,Jet Pokémon,50,1000000,0.9,28.5,224
244,Delibird,Ice,Flying,45,55,45,65,45,75,2,0,0.5,1,1,2,1,1,2,1,1,0.5,0,1,1,1,1,4,2,1,5120,70,330,45,Delivery Pokémon,50,800000,0.9,16,225
245,Mantine,Water,Flying,65,40,70,80,140,70,2,0,0.5,1,1,4,1,0.5,0.5,1,1,1,0,1,1,1,1,2,0.5,0.5,6400,70,485,25,Kite Pokémon,50,1250000,2.1,220,226
246,Skarmory,Steel,Flying,65,80,140,40,70,70,2,0,0.25,1,0.5,2,0.5,1,2,0.5,1,0.25,0,1,0.5,0,0.5,1,0.5,1,6400,70,465,25,Armor Bird Pokémon,50,1250000,1.7,50.5,227
247,Houndour,Dark,Fire,45,60,30,80,50,65,2,0,1,0.5,1,1,1,2,0.5,1,0.5,0.5,2,0.5,1,1,0,2,0.5,2,5120,35,330,120,Dark Pokémon,50,1250000,0.6,10.8,228
248,Houndoom,Dark,Fire,75,90,50,110,80,95,2,0,1,0.5,1,1,1,2,0.5,1,0.5,0.5,2,0.5,1,1,0,2,0.5,2,5120,35,600,45,Dark Pokémon,50,1250000,1.4,35,229
249,Mega Houndoom,Dark,Fire,75,90,90,140,90,115,2,0,1,0.5,1,1,1,2,0.5,1,0.5,0.5,2,0.5,1,1,0,2,0.5,2,5120,35,600,45,Dark Pokémon,50,1250000,1.4,35,229
250,Kingdra,Water,Dragon,75,95,95,95,95,85,2,0,1,1,2,1,2,1,0.25,1,1,1,1,1,1,1,1,1,0.5,0.25,5120,70,540,45,Dragon Pokémon,50,1000000,1.8,152,230
251,Phanpy,Ground,,90,60,60,40,40,40,2,0,1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,5120,70,330,120,Long Nose Pokémon,50,1000000,0.5,33.5,231
252,Donphan,Ground,,90,120,120,60,60,50,2,0,1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,5120,70,500,60,Armor Pokémon,50,1000000,1.1,120,232
